Time	Iteration	NumSamples	NumberOfRollouts	MeanAvgOfRewards	MeanSumOfRewards	StdSumOfRewards	MaxSumOfRewards	MinSumOfRewards	MeanRolloutLens	StdRolloutLens	TotalNumberOfSamples	TotalNumberOfRollouts	BestSumOfRewards	stepsize	std	g_norm	ExplainVarianceBefore(AE)	ExplainVarianceAfter(AE)
39.575435400009155	0	16500	33	-1.4290971335735214	-714.5485667867607	136.98948538276105	-474.6335570037738	-1002.9392940092888	500.0	0.0	32771	68	-714.5485667867607	1.4719763103652889e-05	0.36800176	17306.25	0.007402296301620148	0.012838093605342937
89.36879968643188	1	16656	34	-1.4576978597634682	-711.7585648336427	142.35687730823818	-263.50958202057353	-1087.1693506507563	489.88235294117646	58.121457364973	49427	102	-711.7585648336427	1.1990050811725723e-05	0.36690784	27081.68	0.004514692826258049	0.10588258923659499
136.70210075378418	2	16667	34	-1.4149948240146515	-693.1731091145751	143.11400267294016	-244.24441989500733	-949.4466101655138	490.20588235294116	56.26292239109305	66094	136	-693.1731091145751	1.4043392851708923e-05	0.3670606	10774.813	0.4814161760696184	0.5711632278733932
184.52170825004578	3	16500	33	-1.4887561997111753	-744.3780998555876	105.23527106295658	-490.6912380759095	-1021.7160211119622	500.0	0.0	82594	169	-693.1731091145751	1.5984671480334492e-05	0.3671639	6119.6123	0.7989027172205855	0.8521541369590454
231.8177011013031	4	16697	34	-1.4541434693409145	-714.5816596776289	139.5310868825344	-276.1007336698493	-981.9093321824748	491.0882352941176	51.194190644147724	99291	203	-693.1731091145751	1.775420009712195e-05	0.3670383	4831.928	0.9251187162893029	0.9446130044568603
281.14033913612366	5	16432	33	-1.4600744123522935	-727.8127802195759	118.44432462129588	-466.3443593657762	-989.4628837417831	497.93939393939394	11.656548150469145	115723	236	-693.1731091145751	1.935613799434522e-05	0.36697635	3742.3076	0.9586092742213959	0.9721628217455619
327.16654205322266	6	16432	33	-1.4140020251039003	-704.6970391724863	104.65485118967504	-482.5253539598341	-916.7086393594141	497.93939393939394	11.656548150469145	132155	269	-693.1731091145751	2.0840268242095264e-05	0.36701518	3056.1108	0.9669962050190958	0.9795551711393798
374.7072319984436	7	16779	34	-1.4187916687780484	-701.6536774783019	150.05282258219782	-332.3171966294671	-1000.677423530005	493.5	37.339657202497186	148934	303	-693.1731091145751	2.2137775959852998e-05	0.36686116	4094.59	0.9698927045421958	0.9858021632964574
421.0142979621887	8	16600	34	-1.5102553739187077	-742.2682482580644	189.2264114126094	-109.30522896095952	-1059.6238793882228	488.2352941176471	67.58308995927092	165534	337	-693.1731091145751	2.329709537307969e-05	0.36711705	5359.5786	0.9651703884943207	0.9804151643317248
467.7807879447937	9	16809	35	-1.4237305087043906	-683.7641288176171	182.34967152078184	-151.61716556436573	-1014.4531529254156	480.25714285714287	80.80712233713167	182343	372	-683.7641288176171	2.431772745460975e-05	0.3666977	4223.1304	0.9400882716202278	0.9708747801518911
