Time	Iteration	NumSamples	NumberOfRollouts	MeanAvgOfRewards	MeanSumOfRewards	StdSumOfRewards	MaxSumOfRewards	MinSumOfRewards	MeanRolloutLens	StdRolloutLens	TotalNumberOfSamples	TotalNumberOfRollouts	BestSumOfRewards	stepsize	std	g_norm	ExplainVarianceBefore(AE)	ExplainVarianceAfter(AE)
42.92895984649658	0	16005	3587	0.2963224052553616	1.441536663627825	1.1881086400929401	10.1258197921099	-2.161771986714937	4.461945915807081	1.773606609801211	32010	6607	1.441536663627825	0.06197134055586171	0.3646934	10.662068	-0.001273629877254212	0.0019973381411746427
90.22028160095215	1	16005	3336	0.34137921709586067	1.76500995528233	1.2648043478181132	10.31464600144033	-2.5267596623517066	4.797661870503597	1.8785375711047507	48015	9943	1.76500995528233	0.06104809508820473	0.36205617	11.061646	0.007692422224858997	0.26216479524882275
136.55983209609985	2	16011	3044	0.38779437350182505	2.169678148235506	1.4245016081757718	10.28354137450884	-1.739742788939706	5.259855453350855	2.085197055354283	64026	12987	2.169678148235506	0.0577920953191221	0.35884336	12.733915	0.2881931285504544	0.3113799825482123
183.2169108390808	3	16009	2806	0.42715993002070457	2.581859743413637	1.6553819272070307	13.399593517147505	-1.9749687736720896	5.705274411974341	2.38141877028814	80035	15793	2.581859743413637	0.05343531083804412	0.35529363	14.579723	0.3031169242503614	0.30564367504331635
230.35147547721863	4	16011	2455	0.478835068865587	3.2880786771242034	2.335339952530035	44.39686709357188	-0.6803474366855384	6.5217922606924645	3.1191272549558033	96046	18248	3.2880786771242034	0.04519016191919233	0.3535168	20.663921	0.2148209885533794	0.25883091940353775
274.79273796081543	5	16007	2091	0.5241271372153986	4.254328780648274	3.7580895272891737	54.11071458652482	-0.43883533754109777	7.655188904830225	4.953364106685629	112053	20339	4.254328780648274	0.028632336148939716	0.35425973	36.090206	0.11683424478451121	0.16295414252975016
319.90841484069824	6	16011	1665	0.58145795310685	6.228902525372697	7.2292017645840785	67.25108622198725	-0.21710553956978038	9.616216216216216	7.816274780785668	128064	22004	6.228902525372697	0.01853588720395023	0.35372886	66.18065	0.001556577723076269	0.006103574288065516
363.2392792701721	7	16035	1142	0.6670408335922327	11.015791095850183	13.300175629486336	75.64240509930369	-0.5171164725715524	14.041155866900175	13.561659980660442	144099	23146	11.015791095850183	0.00882994520200733	0.35186484	150.31094	0.013284859246751601	0.06863782188982548
405.8332302570343	8	16040	779	0.745810881507086	17.54178605366996	17.903074955874434	89.19239682935557	-0.4425981708596234	20.590500641848525	19.166601839271017	160139	23925	17.54178605366996	0.005948223109102476	0.3479062	233.81465	0.07247655274426179	0.10037129302565839
447.82936573028564	9	16021	475	0.8507887333211416	29.94754748211092	22.680632541139115	106.36246606466759	0.250952329021629	33.72842105263158	27.20448749034226	176160	24400	29.94754748211092	0.004172961358265628	0.33841226	292.8247	0.08854338843509302	0.13560515403880702
