Time	Iteration	NumSamples	NumberOfRollouts	MeanAvgOfRewards	MeanSumOfRewards	StdSumOfRewards	MaxSumOfRewards	MinSumOfRewards	MeanRolloutLens	StdRolloutLens	TotalNumberOfSamples	TotalNumberOfRollouts	BestSumOfRewards	stepsize	std	g_norm	ExplainVarianceBefore(AE)	ExplainVarianceAfter(AE)
42.493632316589355	0	16012	1677	0.6425652453616475	10.988331323457432	15.574276100402516	90.08689152633337	-2.8423840056811227	9.548002385211687	7.895613910699277	32016	5125	10.988331323457432	0.002913010402316192	0.36668062	158.17451	0.0012770053049903085	0.00526877583722285
85.96480941772461	1	16001	3086	0.23181750974897658	2.1160417545795625	5.149055599398807	42.79684273496367	-3.895864187950059	5.185029163966299	3.5630306496067843	48017	8211	10.988331323457432	0.004028300716377752	0.3660617	43.296707	0.007794299121025916	0.003942777178112644
134.01783847808838	2	16003	2627	0.3268263177573436	3.312141493016456	6.58099868402197	45.72511081988549	-3.7741558548299663	6.091739626950894	4.400699443918019	64020	10838	10.988331323457432	0.004758346230939758	0.3648746	58.674046	-0.2272040604400627	0.4079861782046613
179.53824853897095	3	16011	2333	0.4097348182528773	4.530854113739977	7.963108482695061	52.991115714293684	-3.0953121315250134	6.862837548221174	5.034561562077174	80031	13171	10.988331323457432	0.005214760548141728	0.3631867	75.82329	0.4217101511421797	0.43645358934272127
224.54318404197693	4	16003	2060	0.505461117040115	6.282462366291134	9.873181379745606	51.40699575440157	-3.000965670666671	7.768446601941748	5.955357750502403	96034	15231	10.988331323457432	0.00541512763097068	0.36058775	94.213165	0.4338974033539955	0.43984987266825604
269.6475975513458	5	16002	1717	0.6789811621317253	9.43112322528123	11.815759893011649	60.31247689349878	-2.9183895022068955	9.31974373907979	6.800230420538706	112036	16948	10.988331323457432	0.005352939876181915	0.35689545	118.3442	0.42128414615722787	0.4535849633838055
313.71315574645996	6	16011	1440	0.8481253876097887	12.672642275024534	12.95600578196971	57.925114068508904	-2.948866198075002	11.11875	7.4182907280847985	128047	18388	12.672642275024534	0.005144430004431936	0.35158435	133.68991	0.43839383867766446	0.4497131854431674
357.1294946670532	7	16005	1221	1.0936089479309914	17.330462053942504	13.752226420693518	61.744088256312374	-2.3775531165193695	13.108108108108109	7.8623356876294155	144052	19609	17.330462053942504	0.004902646445737277	0.34495965	140.38617	0.4453278509887669	0.4702518988237636
401.2089202404022	8	16000	1037	1.3584176891154625	22.762266380709093	13.532662335660572	67.26352193967065	-1.5421287255205267	15.429122468659594	8.109903258340374	160052	20646	22.762266380709093	0.004764829501317167	0.337876	117.36893	0.435094805065087	0.45776448245073253
443.5922875404358	9	16034	942	1.5849784320985816	27.139341421906398	11.987031022987344	66.7992350978009	-1.8509144860640294	17.02123142250531	7.945379846425266	176086	21588	27.139341421906398	0.0047521298566969026	0.3320216	96.252686	0.4284952757928957	0.45288750991459725
