Time	Iteration	NumSamples	NumberOfRollouts	MeanAvgOfRewards	MeanSumOfRewards	StdSumOfRewards	MaxSumOfRewards	MinSumOfRewards	MeanRolloutLens	StdRolloutLens	TotalNumberOfSamples	TotalNumberOfRollouts	BestSumOfRewards	stepsize	std	g_norm	ExplainVarianceBefore(AE)	ExplainVarianceAfter(AE)
39.57799696922302	0	16500	33	-1.357026298078446	-678.5131490392231	132.6260972805124	-427.37158291296043	-947.408794212321	500.0	0.0	33000	66	-678.5131490392231	1.4460551456535992e-05	0.3681706	22031.443	0.0036082608577133746	0.006403687580628703
88.29780125617981	1	16731	34	-1.3260763248729062	-651.7318198391391	146.9334428026721	-330.1115790308735	-1004.2302334260793	492.0882352941176	45.4496279976097	49731	100	-651.7318198391391	9.753303795542089e-06	0.36976942	32281.682	-0.02942707037941883	0.17523762337514381
135.00473618507385	2	16500	33	-1.352950868850182	-676.4754344250908	144.37313181914482	-447.00737266047685	-985.503870659219	500.0	0.0	66231	133	-651.7318198391391	1.170832974968651e-05	0.36978096	8802.892	0.6331215840242177	0.6920810768382384
181.277414560318	3	16500	33	-1.3781460006022903	-689.0730003011452	136.9884662468078	-415.5834269913767	-991.2281662661878	500.0	0.0	82731	166	-651.7318198391391	1.3339850124524129e-05	0.36986724	7714.6523	0.8289340782323396	0.8834978720788613
226.8618311882019	4	16808	34	-1.3295019051472845	-658.2778872605853	135.41566879564306	-353.0517706163153	-929.6399164951938	494.3529411764706	32.43988318045004	99539	200	-651.7318198391391	1.481357440612135e-05	0.36976102	6931.5073	0.8840417179444627	0.9239804653419657
276.1049156188965	5	16681	34	-1.3742416432243059	-673.1666638630537	131.7579392984914	-269.1971372663189	-998.0718351620085	490.61764705882354	53.89751424251856	116220	234	-651.7318198391391	1.6126328901763946e-05	0.36946258	4806.035	0.9206761315014345	0.9556024069235255
324.3078410625458	6	16675	34	-1.3554914945877745	-664.4019987576996	144.83602517759348	-245.90823175366432	-910.0300527495364	490.44117647058823	54.73744345749969	132895	268	-651.7318198391391	1.733971281187765e-05	0.36937398	5145.7524	0.9250467889577589	0.9590384576862407
372.05880093574524	7	16399	34	-1.2789067434055528	-621.5461244958312	152.3732248449498	-96.9780622888932	-968.8005592173022	482.3235294117647	73.41690804946265	149294	302	-621.5461244958312	1.8344482288988957e-05	0.36917838	5475.578	0.9018084756656455	0.9688779335679765
417.54069471359253	8	16500	33	-1.34246170186027	-671.2308509301349	160.39740168916384	-364.01355699767635	-944.921894140155	500.0	0.0	165794	335	-621.5461244958312	1.9302902853419687e-05	0.3691184	6453.237	0.9195928385711634	0.978479917605323
463.6033797264099	9	16712	34	-1.3755106766596	-676.0860523572113	157.55984904881817	-292.0562961472924	-1101.0426101711284	491.52941176470586	48.659824770675066	182506	369	-621.5461244958312	2.0203215684526808e-05	0.36883655	5430.1963	0.9443486113273312	0.990862984395001
