Time	Iteration	NumSamples	NumberOfRollouts	MeanAvgOfRewards	MeanSumOfRewards	StdSumOfRewards	MaxSumOfRewards	MinSumOfRewards	MeanRolloutLens	StdRolloutLens	TotalNumberOfSamples	TotalNumberOfRollouts	BestSumOfRewards	stepsize	std	g_norm	ExplainVarianceBefore(AE)	ExplainVarianceAfter(AE)
39.92705583572388	0	16500	33	-1.4748671404175688	-737.4335702087843	141.039279727994	-464.65056872605334	-1113.3181348497783	500.0	0.0	33000	66	-737.4335702087843	3.1478491497734235e-05	0.36806178	8129.9233	0.02267772349359387	-0.005761846966360951
86.14652013778687	1	16500	33	-1.4200145101784984	-710.0072550892492	154.24913683608057	-477.90560061371286	-1032.9279899450112	500.0	0.0	49500	99	-710.0072550892492	1.2511112362412487e-05	0.36869815	31357.623	-0.2979124012600025	0.5882235979392818
132.64731884002686	2	16394	33	-1.4311973475457742	-712.0484914092717	128.8236650888479	-433.80544361077796	-914.943294610062	496.7878787878788	18.170501528672492	65894	132	-710.0072550892492	1.5092547096983856e-05	0.36874846	6468.821	0.8501016820771067	0.8988172254947892
178.53067708015442	3	16500	33	-1.424680640478161	-712.3403202390804	154.75402802239373	-428.2379850174413	-1056.8487267121955	500.0	0.0	82394	165	-710.0072550892492	1.726795958782315e-05	0.36869448	4788.33	0.9510961894585725	0.9723713203822196
224.5073230266571	4	16500	33	-1.4219582669890518	-710.979133494526	139.50625225278793	-469.6444740245266	-985.1534710803201	500.0	0.0	98894	198	-710.0072550892492	1.91901339653249e-05	0.36859	4153.556	0.9594354676708045	0.9771838935512567
271.1066298484802	5	16500	33	-1.4765186509806427	-738.2593254903212	132.75048428102167	-509.48812147565155	-1066.099619525445	500.0	0.0	115394	231	-710.0072550892492	2.0857347090395413e-05	0.3688272	4490.0713	0.9613979022912306	0.9780679165038098
315.18711137771606	6	16670	34	-1.46241963826002	-713.9674640057348	165.3791161807786	-417.44960407619436	-1007.8470467015702	490.29411764705884	47.80384516392743	132064	265	-710.0072550892492	2.2299394416563887e-05	0.36853006	4995.8403	0.9429891477776383	0.9778211237385984
361.6435914039612	7	16780	35	-1.4360856575646217	-695.3406426522122	191.3164465651118	-113.20750931691492	-982.1585280803204	479.42857142857144	84.07999106778725	148844	300	-695.3406426522122	2.3512700310823656e-05	0.36870176	6639.0107	0.9292161203447978	0.9733316836523983
409.0104629993439	8	16388	33	-1.403749607963682	-698.2426186160828	151.38781118093155	-415.2366198497099	-988.5934013200985	496.6060606060606	19.19902048312565	165232	333	-695.3406426522122	2.4610773570771428e-05	0.36869535	5127.297	0.9462637458683756	0.9810872401161669
452.8756437301636	9	16500	33	-1.4454237800585734	-722.7118900292868	153.91177394860088	-515.6717387128431	-1042.307404801767	500.0	0.0	181732	366	-695.3406426522122	2.5653609534285997e-05	0.3686988	5828.677	0.9434205107691868	0.9899046627730458
498.1507160663605	10	16500	33	-1.4049869019273014	-702.4934509636508	110.13841655761983	-431.4023819137095	-910.5274059635101	500.0	0.0	198232	399	-695.3406426522122	2.6703342142217493e-05	0.3684867	3808.208	0.9574123620064311	0.9909512665471422
544.2351536750793	11	16564	34	-1.3633128410414306	-673.217092692803	195.83697224204238	-42.11921411361676	-986.3453045323081	487.1764705882353	73.66556805560532	214796	433	-673.217092692803	2.7557846199035563e-05	0.3685667	5487.971	0.931365804681466	0.9841007648963284
589.6277084350586	12	16576	34	-1.4681413053635755	-723.6135375353706	184.44411142646314	-63.72921117533426	-1076.748722609395	487.52941176470586	71.63807535682717	231372	467	-673.217092692803	2.8367318326073872e-05	0.36859375	5768.0996	0.9087449915095744	0.9857144493274668
637.5686724185944	13	16500	33	-1.3738610937280098	-686.9305468640049	115.06256320953048	-498.1588828783588	-917.7240365986704	500.0	0.0	247872	500	-673.217092692803	2.901661791320024e-05	0.368226	7277.9404	0.9426714835463879	0.9849499653010894
683.8447949886322	14	16559	34	-1.4545715881830852	-720.2059958696174	178.45597417160823	-32.204252229437614	-1011.5016182795363	487.02941176470586	74.5103566800962	264431	534	-673.217092692803	2.9780099726186384e-05	0.36854738	4496.699	0.9478924314820537	0.984593699871896
