Time	Iteration	NumSamples	NumberOfRollouts	MeanSumOfRewards	StdSumOfRewards	MaxSumOfRewards	MinSumOfRewards	MeanRolloutLens	StdRolloutLens	TotalNumberOfSamples	TotalNumberOfRollouts	BestSumOfRewards	stepsize	std	g_norm	ExplainVarianceBefore(AE)	ExplainVarianceAfter(AE)
7.73112940788269	0	2009	156	12.878205128205128	6.977383747359924	45.0	4.0	12.878205128205128	6.977383747359924	4014	310	12.878205128205128	0.017512629891373113	0.13506515	96.87529	0.3102657031327254	0.3416637310734765
18.48676371574402	1	2016	148	13.621621621621621	6.656033033926566	39.0	4.0	13.621621621621621	6.656033033926566	6030	458	13.621621621621621	0.01713783890664165	0.13479888	96.22053	0.36736490164371205	0.3724045821424006
28.598527193069458	2	2007	129	15.55813953488372	7.376798928406712	38.0	5.0	15.55813953488372	7.376798928406712	8037	587	15.55813953488372	0.01665749419166603	0.13454103	117.95113	0.3879803204942114	0.4087761138106464
37.71635699272156	3	2005	112	17.901785714285715	8.416565109342166	44.0	5.0	17.901785714285715	8.416565109342166	10042	699	17.901785714285715	0.016394233075357725	0.13429952	120.97239	0.42948391622715065	0.4472724183238359
46.63960266113281	4	2027	106	19.12264150943396	8.564629798681647	46.0	5.0	19.12264150943396	8.564629798681647	12069	805	19.12264150943396	0.015984143659247208	0.13404894	133.57344	0.4438655256937988	0.45524191358821764
55.72683334350586	5	2020	94	21.48936170212766	8.625475233100559	44.0	7.0	21.48936170212766	8.625475233100559	14089	899	21.48936170212766	0.015553953547705716	0.13379227	145.98788	0.4539185284748889	0.46991585605646713
63.50803184509277	6	2039	83	24.566265060240966	12.30651974438345	67.0	5.0	24.566265060240966	12.30651974438345	16128	982	24.566265060240966	0.014773045548683413	0.13353254	198.08926	0.3950300832240863	0.4421330958573737
71.04454398155212	7	2017	78	25.858974358974358	11.018311517272062	59.0	6.0	25.858974358974358	11.018311517272062	18145	1060	25.858974358974358	0.01441665306452869	0.13327427	175.39297	0.46346367495094065	0.48201936599070294
78.80147671699524	8	2014	79	25.49367088607595	10.679299054560994	62.0	7.0	25.49367088607595	10.679299054560994	20159	1139	25.858974358974358	0.014106081235022539	0.1330117	196.84608	0.4754833986171241	0.5028629316452632
86.61056447029114	9	2004	65	30.83076923076923	13.378017825774698	70.0	8.0	30.83076923076923	13.378017825774698	22163	1204	30.83076923076923	0.013743287444434484	0.13274601	231.14737	0.45953857336223103	0.48398267222739233
94.48541474342346	10	2002	55	36.4	13.870308379609105	69.0	8.0	36.4	13.870308379609105	24165	1259	36.4	0.012693936212660621	0.13248265	326.1998	0.525306256691124	0.5571241242403429
101.53062343597412	11	2032	56	36.285714285714285	15.36079690747368	73.0	5.0	36.285714285714285	15.36079690747368	26197	1315	36.4	0.011812176729168322	0.13221474	372.7367	0.5299107197231241	0.5606443717867484
108.89715313911438	12	2007	48	41.8125	13.806182567362107	65.0	13.0	41.8125	13.806182567362107	28204	1363	41.8125	0.011314971826521261	0.13194726	386.964	0.5267641572930811	0.5674947752764468
116.42046642303467	13	2044	44	46.45454545454545	13.016518431059655	79.0	22.0	46.45454545454545	13.016518431059655	30248	1407	46.45454545454545	0.010869731977746041	0.13168196	397.5321	0.5802437922193451	0.6329758524636009
123.91313171386719	14	2044	38	53.78947368421053	18.954457738063738	107.0	18.0	53.78947368421053	18.954457738063738	32292	1445	53.78947368421053	0.010174307358907479	0.13142383	558.7651	0.49274138760847286	0.5819225843576341
130.9511046409607	15	2037	33	61.72727272727273	25.160421935172767	122.0	18.0	61.72727272727273	25.160421935172767	34329	1478	61.72727272727273	0.009781364795609013	0.13115901	540.1141	0.4600596448397116	0.5815893785414051
138.3363049030304	16	2012	26	77.38461538461539	32.032527846498255	148.0	38.0	77.38461538461539	32.032527846498255	36341	1504	77.38461538461539	0.00920962434974313	0.13089669	674.191	0.4122944950924403	0.5492676933161624
145.1788308620453	17	2010	22	91.36363636363636	34.76354602498722	164.0	41.0	91.36363636363636	34.76354602498722	38351	1526	91.36363636363636	0.008600701011726749	0.13064702	849.2699	0.5104700911358011	0.586916781330955
152.1805717945099	18	2010	20	100.5	35.18593468987288	183.0	49.0	100.5	35.18593468987288	40361	1546	100.5	0.007548671979241152	0.13038874	1335.238	0.5096199034148214	0.6045191501750703
159.1125738620758	19	2021	15	134.73333333333332	40.07736961872068	189.0	64.0	134.73333333333332	40.07736961872068	42382	1561	134.73333333333332	0.006698452015295153	0.13012195	1733.3856	0.5093014689724205	0.5886680855317901
165.5618190765381	20	2111	14	150.78571428571428	48.52124508387842	200.0	41.0	150.78571428571428	48.52124508387842	44493	1575	150.78571428571428	0.006387715499869245	0.1298729	1358.0826	0.5645303353496347	0.671592741464052
172.19616746902466	21	2083	11	189.36363636363637	53.6677874050969	266.0	97.0	189.36363636363637	53.6677874050969	46576	1586	189.36363636363637	0.005992730193544812	0.12961808	1803.3544	0.5438367083345694	0.6481085110596454
179.48615646362305	22	2004	9	222.66666666666666	48.5134574685783	302.0	140.0	222.66666666666666	48.5134574685783	48580	1595	222.66666666666666	0.00566883342231252	0.12935214	1881.6343	0.5609698488311676	0.6733622513198694
187.26855731010437	23	2188	8	273.5	55.95757321399848	340.0	167.0	273.5	55.95757321399848	50768	1603	273.5	0.005433895331680623	0.12921205	1943.5823	0.6094003820510578	0.6927280836866002
202.31763815879822	24	2229	7	318.42857142857144	53.03060340934453	395.0	239.0	318.42857142857144	53.03060340934453	52997	1610	318.42857142857144	0.004996962676876322	0.12902609	3007.3718	0.6481215279394255	0.7565238587390581
217.48982620239258	25	2057	5	411.4	71.64523710617476	546.0	333.0	411.4	71.64523710617476	55054	1615	411.4	0.004177774717884186	0.12888044	6214.5317	0.6166027308938357	0.7392637210324906
230.71775722503662	26	2242	5	448.4	42.58920050904924	497.0	380.0	448.4	42.58920050904924	57296	1620	448.4	0.004050426875165753	0.12869312	3052.7363	0.7355332610982164	0.8226646665595644
245.24893069267273	27	2335	5	467.0	107.0812775418747	644.0	308.0	467.0	107.0812775418747	59631	1625	467.0	0.0038459240751584265	0.1284715	4989.647	0.6970296510190281	0.7846180704786949
261.25106406211853	28	2284	5	456.8	201.08247064326616	682.0	82.0	456.8	201.08247064326616	61915	1630	467.0	0.0031193956094849504	0.1282335	10711.613	0.6002999405990029	0.6741128442401236
272.1407446861267	29	2128	4	532.0	66.20800555824046	643.0	468.0	532.0	66.20800555824046	64043	1634	532.0	0.003045977925026072	0.12800145	4761.286	0.6706564088924476	0.7584484592543352
285.3643887042999	30	2434	5	486.8	85.0585680575449	603.0	374.0	486.8	85.0585680575449	66477	1639	532.0	0.0025245840307116635	0.12776296	18274.51	0.7475424965277853	0.8225165255002603
