Time	Iteration	NumSamples	NumberOfRollouts	MeanAvgOfRewards	MeanSumOfRewards	StdSumOfRewards	MaxSumOfRewards	MinSumOfRewards	MeanRolloutLens	StdRolloutLens	TotalNumberOfSamples	TotalNumberOfRollouts	BestSumOfRewards	stepsize	std	g_norm	ExplainVarianceBefore(AE)	ExplainVarianceAfter(AE)
41.569080114364624	0	16500	33	-1.4456265180023349	-722.8132590011676	145.14559551013048	-501.22819057196006	-1069.1133477357403	500.0	0.0	33000	66	-722.8132590011676	1.61952625412112e-05	0.3679089	18691.373	0.033750114215680194	0.038708358449138114
91.75397658348083	1	16353	34	-1.4569288821676258	-702.4327783964438	162.24385810275902	-207.0216156116815	-1085.7641224868473	480.97058823529414	76.1223802965128	49353	100	-702.4327783964438	1.800991483526053e-05	0.36767787	10074.568	0.12761163512378715	0.15868352874027758
136.1696162223816	2	16493	33	-1.467952065689603	-733.726905811309	141.58102284035166	-534.9519208051256	-1064.643545320344	499.7878787878788	1.1999387801953534	65846	133	-702.4327783964438	2.0676136579942197e-05	0.3677738	7023.5527	0.7570027858397208	0.8258384097810382
183.1320424079895	3	16431	34	-1.494447147585811	-724.9236221126047	180.05887217335598	-276.97096942663666	-1085.42276959181	483.2647058823529	67.34865771121002	82277	167	-702.4327783964438	2.3023536554750743e-05	0.36738014	7511.74	0.888318278009604	0.936949784701354
230.07197833061218	4	16695	34	-1.4973586131423013	-735.3685452733507	172.15547239652724	-289.34540132594555	-1220.0336069537705	491.02941176470586	51.53210609394409	98972	201	-702.4327783964438	2.51437404275537e-05	0.36750978	5492.7593	0.9294175229792986	0.963764111299816
278.1578366756439	5	16532	35	-1.4248511309310223	-669.7597907243857	161.70470097872155	-245.29708167299938	-958.1999421389655	472.34285714285716	90.36622088784624	115504	236	-669.7597907243857	2.6897405226047237e-05	0.36800912	6489.1533	0.8984883726047374	0.9530733339100375
325.4188678264618	6	16679	34	-1.4485460377026105	-709.3648656669301	148.00541740791425	-282.6511535205806	-1167.8480224379578	490.55882352941177	54.23542969231492	132183	270	-669.7597907243857	2.8578011589933518e-05	0.36838478	4773.119	0.9315733389133098	0.96731253669913
371.4659700393677	7	16500	33	-1.362947094241879	-681.4735471209397	142.93119630179802	-464.20245004377676	-1080.4442480719363	500.0	0.0	148683	303	-669.7597907243857	2.9933646903243483e-05	0.3683978	4854.9214	0.919243167552777	0.9812119543745554
418.06349086761475	8	16500	33	-1.4720456313255568	-736.0228156627784	142.62332859228025	-479.4081948694972	-1162.092060387506	500.0	0.0	165183	336	-669.7597907243857	3.1343389227310926e-05	0.3684847	4987.7227	0.9520310225300418	0.9891016923579506
465.6902964115143	9	16674	34	-1.4447731259454992	-708.019735376366	155.43274129601963	-260.7182578533896	-1063.879026845592	490.4117647058824	55.080218316805805	181857	370	-669.7597907243857	3.2548615705347886e-05	0.36841363	6960.9805	0.9570112470291691	0.9845763791898671
511.03808331489563	10	17024	36	-1.3800764379386146	-647.3251109160599	159.45926508863852	-261.76963406891343	-957.0098116506922	472.8888888888889	89.97925000853677	198881	406	-647.3251109160599	3.361713641530919e-05	0.36810407	5384.981	0.9096075462841677	0.9791805852441265
559.6853787899017	11	16500	33	-1.4736230618831219	-736.8115309415608	157.66923195253892	-511.66408521851355	-1100.0430462348463	500.0	0.0	215381	439	-647.3251109160599	3.457007293206768e-05	0.3682937	6027.91	0.9409402434271026	0.9854955204996657
606.180902004242	12	16972	36	-1.4506314103269433	-692.1408666256327	193.2545705927663	-123.08152903942738	-1086.2317872246497	471.44444444444446	94.85381865576232	232353	475	-647.3251109160599	3.513896722276964e-05	0.3679258	8743.343	0.9280052061963722	0.9834352925044629
653.6701681613922	13	16731	34	-1.3671482246226137	-674.4228159867923	128.94305548943692	-267.19063692467444	-1011.1406602519658	492.0882352941176	45.4496279976097	249084	509	-647.3251109160599	3.562622056185949e-05	0.3674058	5937.678	0.8940795894168513	0.9656447803234687
700.0244059562683	14	16690	34	-1.3994553567568795	-686.6113820796098	132.29524193932198	-273.32669061432625	-936.3161459821749	490.88235294117646	52.37689471843497	265774	543	-647.3251109160599	3.597199028258047e-05	0.36661273	7476.1294	0.9180612327455723	0.9773158099979834
746.5669476985931	15	16500	33	-1.3870694890943236	-693.5347445471617	138.5599756793289	-450.0830488786787	-1107.8167764601094	500.0	0.0	282274	576	-647.3251109160599	3.661504513520027e-05	0.36627817	5613.5796	0.9237131516813705	0.9801663901941321
792.276116847992	16	16692	34	-1.3894108983266873	-682.7416204248038	175.9405666886279	-253.5710194973621	-1166.0965588231559	490.94117647058823	52.03897926863861	298966	610	-647.3251109160599	3.733288253983386e-05	0.36628273	4277.5264	0.9385144340474717	0.9871650437744408
838.2500150203705	17	16753	34	-1.4254078989577559	-704.6657639224551	134.5835905846446	-279.9371342362315	-970.3303236666205	492.7352941176471	41.73255804984979	315719	644	-647.3251109160599	3.790476316259512e-05	0.36666238	5275.0103	0.9407634877667759	0.9855516620945937
