Time	Iteration	NumSamples	NumberOfRollouts	MeanSumOfRewards	StdSumOfRewards	MaxSumOfRewards	MinSumOfRewards	MeanRolloutLens	StdRolloutLens	TotalNumberOfSamples	TotalNumberOfRollouts	BestSumOfRewards	stepsize	std	g_norm	ExplainVarianceBefore(AE)	ExplainVarianceAfter(AE)
7.826080083847046	0	2001	255	7.847058823529411	2.936608216985917	20.0	4.0	7.847058823529411	2.936608216985917	4002	422	7.847058823529411	0.03357168516043765	0.13506515	23.868338	0.30844014173453393	0.36258550783716814
18.386680364608765	1	2002	251	7.9760956175298805	2.7957399106905148	20.0	3.0	7.9760956175298805	2.7957399106905148	6004	673	7.9760956175298805	0.03287033356597427	0.13479538	25.389381	0.5253002359012943	0.637208876392559
29.392247676849365	2	2003	233	8.59656652360515	2.9517415047410003	19.0	4.0	8.59656652360515	2.9517415047410003	8007	906	8.59656652360515	0.03225078409706533	0.13452971	27.389992	0.6298028840046385	0.6325764239130387
40.73038983345032	3	2002	219	9.141552511415526	3.2997937337959042	22.0	4.0	9.141552511415526	3.2997937337959042	10009	1125	9.141552511415526	0.03127499245547358	0.13426699	31.631878	0.6134182363769407	0.6225784519426012
52.392287731170654	4	2007	218	9.206422018348624	3.2872501887674885	25.0	4.0	9.206422018348624	3.2872501887674885	12016	1343	9.206422018348624	0.030844309797619516	0.13400187	30.630707	0.5985917365325755	0.6046616514221465
62.475799322128296	5	2011	199	10.105527638190955	3.3345940058588086	27.0	4.0	10.105527638190955	3.3345940058588086	14027	1542	10.105527638190955	0.03054146960084304	0.13373476	31.666666	0.6172273749720778	0.6260672132117261
72.10667490959167	6	2001	192	10.421875	3.818013857715597	26.0	5.0	10.421875	3.818013857715597	16028	1734	10.421875	0.03007461520476102	0.13346697	34.602013	0.6141685519335383	0.6193197815831448
82.15133881568909	7	2002	177	11.310734463276836	3.4114377277283277	25.0	5.0	11.310734463276836	3.4114377277283277	18030	1911	11.310734463276836	0.029737401897792202	0.13319711	35.38186	0.633267293472439	0.6421519105341059
91.90855503082275	8	2001	162	12.351851851851851	4.888222457383352	35.0	6.0	12.351851851851851	4.888222457383352	20031	2073	12.351851851851851	0.029055811378411976	0.1329266	42.80971	0.5935506696712258	0.6101290179294584
100.96261072158813	9	2014	162	12.432098765432098	3.9092744159730195	29.0	6.0	12.432098765432098	3.9092744159730195	22045	2235	12.432098765432098	0.028516862918809876	0.13266337	43.0828	0.6130698916345036	0.623031396081758
