Time	Iteration	NumSamples	NumberOfRollouts	MeanSumOfRewards	StdSumOfRewards	MaxSumOfRewards	MinSumOfRewards	MeanRolloutLens	StdRolloutLens	TotalNumberOfSamples	TotalNumberOfRollouts	BestSumOfRewards	stepsize	std	g_norm	ExplainVarianceBefore(AE)	ExplainVarianceAfter(AE)
423.59580874443054	29	2011	70	28.728571428571428	8.896100957436238	58.0	12.0	28.728571428571428	8.896100957436238	62187	6488	28.728571428571428	0.019035439185916634	0.1272055	152.9258	0.6451195225987918	0.6681059367920106
439.8251791000366	30	2013	66	30.5	10.21028892833107	56.0	11.0	30.5	10.21028892833107	64200	6554	30.5	0.01834489243131827	0.12693511	167.88815	0.6241100530183714	0.657062708518522
455.8806371688843	31	2041	60	34.016666666666666	12.622059613584817	74.0	10.0	34.016666666666666	12.622059613584817	66241	6614	34.016666666666666	0.017899505241298568	0.1266537	164.32169	0.6050762465077512	0.6413128821301581
470.92030477523804	32	2009	53	37.905660377358494	15.06998034447191	98.0	18.0	37.905660377358494	15.06998034447191	68250	6667	37.905660377358494	0.016958605241664846	0.1263627	250.5832	0.5636418122163105	0.6195267405555946
487.0179798603058	33	2004	52	38.53846153846154	10.22715378569292	75.0	23.0	38.53846153846154	10.22715378569292	70254	6719	38.53846153846154	0.01632892457851225	0.12606001	235.69136	0.6441439913844089	0.6837677666933848
500.4588186740875	34	2037	45	45.266666666666666	14.384250646685308	82.0	23.0	45.266666666666666	14.384250646685308	72291	6764	45.266666666666666	0.014952109376541803	0.12576632	392.33945	0.7172212608889714	0.7528255319645731
513.9570264816284	35	2027	46	44.06521739130435	11.570957222274117	68.0	18.0	44.06521739130435	11.570957222274117	74318	6810	45.266666666666666	0.014542772318049471	0.12545928	280.4243	0.7580413795519526	0.7891477643655251
529.3469634056091	36	2081	41	50.75609756097561	17.93182276562533	90.0	16.0	50.75609756097561	17.93182276562533	76399	6851	50.75609756097561	0.014116031860583508	0.1251458	312.21997	0.6805880410476601	0.7352905610718367
544.7354474067688	37	2049	34	60.26470588235294	19.606884780501154	113.0	34.0	60.26470588235294	19.606884780501154	78448	6885	60.26470588235294	0.013309459868788011	0.12482271	404.03192	0.6437486680961019	0.7143452147653252
557.6365599632263	38	2020	33	61.21212121212121	15.002540341974766	105.0	43.0	61.21212121212121	15.002540341974766	80468	6918	61.21212121212121	0.01292744134264229	0.12449275	335.264	0.6924210766732959	0.7436294680935077
573.4255635738373	39	2035	28	72.67857142857143	12.118620770853221	102.0	50.0	72.67857142857143	12.118620770853221	82503	6946	72.67857142857143	0.012239668227596645	0.12416159	494.46216	0.7558620658444297	0.8264559202347623
585.866297006607	40	2018	28	72.07142857142857	18.552875347866415	129.0	49.0	72.07142857142857	18.552875347866415	84521	6974	72.67857142857143	0.011724632507212725	0.12386436	490.39203	0.7014450302811018	0.7836280675231518
598.7038373947144	41	2062	23	89.65217391304348	25.54894483595406	155.0	44.0	89.65217391304348	25.54894483595406	86583	6997	89.65217391304348	0.010601233726339478	0.12356574	920.0887	0.5644374981759415	0.6952582980142363
615.030365228653	42	2016	19	106.10526315789474	35.754859422170426	191.0	55.0	106.10526315789474	35.754859422170426	88599	7016	106.10526315789474	0.009488345157087014	0.123257525	1204.1393	0.6007820495961503	0.6949395376116141
630.2757368087769	43	2055	18	114.16666666666667	34.639813317433834	181.0	62.0	114.16666666666667	34.639813317433834	90654	7034	114.16666666666667	0.008645313216165084	0.12293921	1261.4135	0.5874140807839447	0.6931870134126539
641.4770336151123	44	2030	16	126.875	29.582247632659694	174.0	60.0	126.875	29.582247632659694	92684	7050	126.875	0.008153193347538638	0.122622065	1291.1278	0.6545869895260032	0.7290570302963901
654.6990523338318	45	2011	13	154.69230769230768	40.91526819657465	230.0	70.0	154.69230769230768	40.91526819657465	94695	7063	154.69230769230768	0.0077749128561059805	0.122290894	1225.9188	0.6025968807401818	0.720614065343725
668.6328017711639	46	2145	10	214.5	44.20237550177592	314.0	172.0	214.5	44.20237550177592	96840	7073	214.5	0.007398582487771104	0.121948145	1400.7462	0.5532338618429786	0.6821860341873325
682.9099409580231	47	2063	9	229.22222222222223	36.11948620828675	297.0	179.0	229.22222222222223	36.11948620828675	98903	7082	229.22222222222223	0.006698842973584668	0.1215967	2319.4065	0.6723676630572901	0.7692346668611546
693.0654530525208	48	2193	8	274.125	55.70780353774505	332.0	148.0	274.125	55.70780353774505	101096	7090	274.125	0.006112872299116601	0.12123743	3058.317	0.6334372575946797	0.7134691974540284
706.2933247089386	49	2029	6	338.1666666666667	58.00407073837338	452.0	287.0	338.1666666666667	58.00407073837338	103125	7096	338.1666666666667	0.0059712469734207714	0.120885156	1631.7406	0.6339212697668563	0.7420952303986432
718.2630829811096	50	2262	6	377.0	53.391634800469134	491.0	321.0	377.0	53.391634800469134	105387	7102	377.0	0.0049098654312089915	0.120559625	6450.6895	0.6853610400628465	0.7644126199363421
733.1022143363953	51	2173	5	434.6	99.44767468372501	617.0	333.0	434.6	99.44767468372501	107560	7107	434.6	0.003334002819983586	0.120230585	18324.795	0.5908467128203639	0.6926100737016203
748.312522649765	52	2097	5	419.4	119.29056961889317	532.0	230.0	419.4	119.29056961889317	109657	7112	434.6	0.0028891194604343693	0.119887695	15969.896	0.6024353650715599	0.6950230151512785
761.2502315044403	53	2590	4	647.5	104.5621824561825	820.0	538.0	647.5	104.5621824561825	112247	7116	647.5	0.002778143518819574	0.1195345	11779.07	0.5480061604903741	0.6304484188331495
777.609602689743	54	2227	3	742.3333333333334	52.79099249766847	816.0	695.0	742.3333333333334	52.79099249766847	114474	7119	742.3333333333334	0.0027269248712558252	0.11923742	8135.4546	0.706247735659253	0.7857814460882432
793.4216792583466	55	2905	3	968.3333333333334	23.976840677805924	1000.0	942.0	968.3333333333334	23.976840677805924	117379	7122	968.3333333333334	0.0026509827640006445	0.118917406	7535.711	0.7283983689713528	0.780375227677971
813.1762065887451	56	2000	2	1000.0	0.0	1000.0	1000.0	1000.0	0.0	119379	7124	1000.0	0.002575389157429308	0.118594036	11548.529	0.8113651774671118	0.9046114253157527
827.489235162735	57	2000	2	1000.0	0.0	1000.0	1000.0	1000.0	0.0	121379	7126	1000.0	0.0025065702999722403	0.11853479	10559.403	0.8932633234819135	0.9589634217664667
841.105731010437	58	2000	2	1000.0	0.0	1000.0	1000.0	1000.0	0.0	123379	7128	1000.0	0.0025045224790981517	0.11850718	4464.83	0.936506245139629	0.9779945341707026
856.0281035900116	59	2000	2	1000.0	0.0	1000.0	1000.0	1000.0	0.0	125379	7130	1000.0	0.002495456955423712	0.11848813	5200.389	0.9669171147197542	0.9883363332008348
869.8773918151855	60	2000	2	1000.0	0.0	1000.0	1000.0	1000.0	0.0	127379	7132	1000.0	0.002501255856688909	0.11841897	2652.355	0.9813301672823707	0.9931000033069397
881.9420359134674	61	2000	2	1000.0	0.0	1000.0	1000.0	1000.0	0.0	129379	7134	1000.0	0.0025100723085893684	0.1183457	1589.6754	0.987922455386267	0.9956527331851227
894.2622833251953	62	2000	2	1000.0	0.0	1000.0	1000.0	1000.0	0.0	131379	7136	1000.0	0.002514886473229368	0.11832231	3365.6865	0.9923211845275297	0.9973153898004319
908.3778371810913	63	2000	2	1000.0	0.0	1000.0	1000.0	1000.0	0.0	133379	7138	1000.0	0.0025229370689350515	0.118312635	1592.2748	0.9948317091622376	0.998069524797673
920.8223931789398	64	2000	2	1000.0	0.0	1000.0	1000.0	1000.0	0.0	135379	7140	1000.0	0.002531634029617677	0.11830341	1231.96	0.9963727807826849	0.9987411956971683
